,image,mask
0,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/572704.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/572704.png
1,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/8230910.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/8230910.png
2,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/5865116.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/5865116.png
3,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3214360.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3214360.png
4,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/2197251.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/2197251.png
5,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/11235758.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/11235758.png
6,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/5443177.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/5443177.png
7,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/1329560.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/1329560.png
8,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/3369718.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/3369718.png
9,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/4777683.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/4777683.png
10,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/2011664.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/2011664.png
11,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/8981698.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/8981698.png
12,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/7215543.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/7215543.png
13,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/1918253.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/1918253.png
14,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/8406893.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/8406893.png
15,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10096620.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10096620.png
16,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/7690246.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/7690246.png
17,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/8442477.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/8442477.png
18,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/9731994.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/9731994.png
19,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/5865702.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/5865702.png
20,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10418688.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10418688.png
21,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/7078199.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/7078199.png
22,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/8959657.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/8959657.png
23,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/6164686.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/6164686.png
24,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/10235662.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/10235662.png
25,/home/parichya/Documents/sustainbench/data/crop_delineation/imgs/2565048.jpeg,/home/parichya/Documents/sustainbench/data/crop_delineation/masks/2565048.png
